"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc05g009550.3",1504.31641106211,-3.33824101624196,0.262363725915352,-8.91221150364499,5.00245911276797e-19,1.05304378849435e-17
"Solyc06g069000.3",420.125015201399,-3.83381094524729,0.318893662929159,-8.88638212254726,6.31309657370893e-19,1.32317685863183e-17
"Solyc11g011630.2",161.938364004833,-4.4960655572508,0.393741144137135,-8.87909635380439,6.74057015262063e-19,1.41154781896213e-17
"Solyc12g009300.3",79566.5838976853,-2.54964167927343,0.175226652348914,-8.84364141242489,9.26486173396078e-19,1.93179161917943e-17
"Solyc02g071080.2",219.755318622325,-4.86505060669651,0.437213003701816,-8.8402004834525,9.55469967691905e-19,1.98599892319391e-17
"Solyc02g071090.3",265.31843118433,-4.65815481591568,0.413945606781507,-8.83728382663223,9.80737600773702e-19,2.03612584710458e-17
"Solyc04g064900.1",276.813015071648,-11.6789578769798,1.2090536323103,-8.83249310998232,1.02368031059188e-18,2.12163450992825e-17
"Solyc12g015690.2",4214.33580419987,-2.72940535538648,0.196075025311146,-8.82012052601871,1.14336585269104e-18,2.36563178049072e-17
"Solyc06g051460.3",2069.04813974427,-3.4900109185481,0.283329074007556,-8.78840594552502,1.51696959952486e-18,3.1119768541696e-17
"Solyc06g075550.3",2349.12651882797,-3.1126883668633,0.240635285706307,-8.77962831037929,1.64015781268563e-18,3.35898760181024e-17
"Solyc09g090390.2",405.780108010022,-5.48112384366819,0.510486145826091,-8.77814977018945,1.66185876406777e-18,3.40054859377321e-17
"Solyc09g074630.3",2985.36099584344,-2.63827163226807,0.186976558422469,-8.7619092258958,1.91970839677856e-18,3.91490912375955e-17
"Solyc09g014740.3",168.459575928878,-8.03063215597262,0.803468664446395,-8.75035015935171,2.12691742120063e-18,4.33016734631293e-17
"Solyc01g107890.3",7264.75350423216,-2.19549614273709,0.136636200101546,-8.74948323979016,2.14331957209411e-18,4.35988727097863e-17
"Solyc06g082500.3",1014.27556757376,-2.44958526655548,0.165817347745698,-8.74206038308246,2.28897085846937e-18,4.64834199712359e-17
"Solyc08g076790.3",644.026005963286,-3.61263754493067,0.29970346964249,-8.71740840387076,2.84641919912984e-18,5.74178350301935e-17
"Solyc07g065540.1",5059.06061770229,-2.44669089892865,0.165956041243505,-8.71731386268696,2.84879617266147e-18,5.74178551363946e-17
"Solyc05g014120.1",304.325496051025,-5.15581004986219,0.477010240225755,-8.71220300825275,2.9802533556502e-18,6.00173354938689e-17
"Solyc07g039310.1",1089.78551750152,-3.12692728682014,0.244813275365214,-8.68795731623287,3.69014377554422e-18,7.40049912695449e-17
"Solyc12g044300.2",8150.04007687655,-3.09565608440766,0.241218988855383,-8.68777410249432,3.69609819253762e-18,7.40629427204511e-17
"Solyc02g078570.3",24675.7724431738,-3.18799204316575,0.251915465303655,-8.68542167718196,3.7733996556657e-18,7.55492759559381e-17
"Solyc05g005700.3",1995.92647521716,-3.52653940479105,0.291114157945406,-8.67886131894989,3.99750773069456e-18,7.9970009784739e-17
"Solyc05g050120.3",1240.58478000189,-3.02737253455132,0.233811267003828,-8.67097877929951,4.28421558437099e-18,8.56347012505453e-17
"Solyc05g012530.1",158.819550520286,-8.04743797364119,0.814651339396267,-8.65086403572847,5.11109671475636e-18,1.01825855901733e-16
"Solyc01g087210.3",36317.7279493033,-2.82269087581771,0.210805896782938,-8.64629929064317,5.31964793485752e-18,1.05806265015446e-16
"Solyc09g005850.3",2624.89961260518,-2.42718142182106,0.165073504312739,-8.64573286768783,5.34610518101709e-18,1.06245047536562e-16
"Solyc08g061100.3",58722.8672130217,-2.26585682220736,0.146557274890625,-8.63728411402341,5.75650993410315e-18,1.14213316147403e-16
"Solyc06g048750.3",249.362900527073,-11.5284426415995,1.21921698649349,-8.63541334990715,5.85150626868596e-18,1.16002871607108e-16
"Solyc06g076260.3",252.005491807338,-3.31669590231917,0.268673081829803,-8.6227317100071,6.53755004317259e-18,1.29285134487159e-16
"Solyc02g077720.3",192.382606740586,-4.13222808701976,0.363557834848974,-8.61548778977881,6.9644444299e-18,1.37502258245885e-16
"Solyc05g005540.3",775.801139220381,-2.39168942916903,0.161807618395418,-8.60088939550478,7.91006884248204e-18,1.55790320821044e-16
"Solyc08g029170.3",17077.7784772111,-2.79044178275235,0.208197544340847,-8.59972574806726,7.99068174261431e-18,1.57249849342034e-16
"Solyc03g119200.3",740.786246223004,-3.33934170686236,0.272032977501776,-8.59947837334201,8.00792311247406e-18,1.57460919394669e-16
"Solyc01g103140.3",5155.06936210265,-2.8382924277649,0.213982905879763,-8.59083775971265,8.63374732815871e-18,1.69490770050596e-16
"Solyc06g071290.3",274.777301227964,-3.73693125551237,0.318771142542837,-8.58588150006263,9.01425471045085e-18,1.76816947510353e-16
"Solyc07g056360.1",799.603638491017,-3.42080409341034,0.282286675587998,-8.57569379910635,9.84912573579053e-18,1.92567938941031e-16
"Solyc02g093680.3",3478.01040070605,-2.13768359823582,0.132820219823238,-8.56559038789342,1.07523479791107e-17,2.09887917013885e-16
"Solyc09g098550.3",3344.44503495714,-2.27282926380781,0.148687508605897,-8.5604317117284,1.12445658207395e-17,2.19142078729024e-16
"Solyc12g088910.2",1427.45268182947,-2.47540822532908,0.172391113547855,-8.55849350331804,1.14351922441376e-17,2.2267756307158e-16
"Solyc10g044680.2",244.465514258787,-9.75695643864423,1.02367547900732,-8.55442629839685,1.18456377167728e-17,2.30299019359238e-16
"Solyc10g081955.1",4161.61365988352,-3.01778417455169,0.235916585727373,-8.55295598794165,1.19975653496127e-17,2.33065244564904e-16
"Solyc02g091130.3",184.859027355436,-4.08740677789645,0.361445364092044,-8.54183532178387,1.32106607457643e-17,2.56218962746502e-16
"Solyc01g008790.3",4450.39809610797,-2.57545701990265,0.184587395158194,-8.53501951502407,1.40131773511115e-17,2.71348112072884e-16
"Solyc05g012805.1",2437.60720835003,-2.56533313210766,0.18354470284174,-8.52834817824926,1.48452161507098e-17,2.87229378301083e-16
"Solyc04g050990.3",295.810233661675,-3.85341113564579,0.334909221483947,-8.51995392364126,1.59616810518234e-17,3.08337317584624e-16
