Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SPbreaker2	50221338.0	150.0	48098245.0	95.77	149.5	23226352.0	22243984.0	22964081.0	209008.0	7319.0	45944.0	0.6	0.02	1.82	0.01	1.77	961285.0	1.91	27715.0	0.06	0.0	2.01	0.25	0	1008640	125453
SPbreaker3	49513547.0	150.0	47567141.0	96.07	149.51	22349025.0	21389555.0	22091805.0	202746.0	6985.0	47489.0	0.58	0.02	1.82	0.01	1.78	941873.0	1.9	15040.0	0.03	0.0	1.85	0.15	0	915281	74212
SPrr1	55137407.0	150.0	50828662.0	92.19	149.63	24494938.0	23379906.0	24198063.0	237949.0	8334.0	50592.0	0.46	0.02	1.8	0.02	1.75	1361641.0	2.47	80797.0	0.15	0.0	5.0	0.19	0	2761375	104932
SPrr2	45594929.0	150.0	43120639.0	94.57	149.67	20921555.0	20035992.0	20658446.0	213399.0	6519.0	43191.0	0.47	0.02	1.79	0.02	1.74	943115.0	2.07	55630.0	0.12	0.0	2.75	0.48	0	1256269	219276
SPrr3	93818354.0	150.0	83722136.0	89.24	149.5	42750487.0	39791805.0	42168494.0	446343.0	19699.0	115951.0	0.49	0.02	1.82	0.02	1.73	2698290.0	2.88	128034.0	0.14	0.0	4.14	3.61	0	3883530	3386364
SRR3199616	7900823.0	49.0	7498534.0	94.91	48.95	837238.0	800620.0	823811.0	9952.0	584.0	2891.0	0.36	0.02	2.01	0.01	1.45	208127.0	2.63	5709.0	0.07	0.0	2.22	0.16	0	175784	12669
SRR3199617	5495714.0	49.0	5202900.0	94.67	48.95	593094.0	569289.0	583602.0	7015.0	433.0	2044.0	0.36	0.02	2.08	0.01	1.48	158684.0	2.89	3869.0	0.07	0.0	2.21	0.16	0	121467	8794
SRR3199618	5800307.0	49.0	5524783.0	95.25	48.95	639031.0	611441.0	628713.0	7516.0	403.0	2399.0	0.35	0.02	2.07	0.01	1.47	138314.0	2.38	3856.0	0.07	0.0	2.15	0.15	0	124657	8697
SRR3199622	4319852.0	49.0	3994611.0	92.47	48.88	435028.0	414510.0	427815.0	5266.0	264.0	1683.0	0.4	0.02	2.07	0.01	1.44	127562.0	2.95	4794.0	0.11	0.0	4.1	0.37	0	176919	15966
SRR3199623	6486532.0	49.0	6083777.0	93.79	48.89	686524.0	656199.0	675719.0	8043.0	370.0	2392.0	0.37	0.02	2.07	0.01	1.46	137779.0	2.12	6025.0	0.09	0.0	3.64	0.35	0	236236	22715
SRR3199624	8892222.0	49.0	8484994.0	95.42	49.01	1104994.0	1059968.0	1088579.0	12543.0	684.0	3188.0	0.34	0.02	2.11	0.01	1.45	191689.0	2.16	5229.0	0.06	0.0	2.3	0.07	0	204098	6212
SRR3199628	6239907.0	49.0	5743807.0	92.05	48.99	723757.0	691572.0	713340.0	8273.0	464.0	1680.0	0.48	0.02	2.06	0.01	1.51	313817.0	5.03	2961.0	0.05	0.0	2.83	0.04	0	176823	2499
SRR3199629	8215095.0	49.0	7770892.0	94.59	49.03	1021254.0	979514.0	1006723.0	11573.0	607.0	2351.0	0.39	0.02	2.08	0.01	1.48	309394.0	3.77	3735.0	0.05	0.0	1.57	0.03	0	128616	2458
SRR3199630	5429303.0	49.0	4154477.0	76.52	48.86	483818.0	461046.0	476662.0	5554.0	319.0	1283.0	0.66	0.02	2.03	0.01	1.51	222551.0	4.1	2509.0	0.05	0.0	19.25	0.09	0	1044881	4885
SRR3199635	7717679.0	49.0	7088522.0	91.85	48.91	784191.0	741358.0	771724.0	9167.0	502.0	2798.0	0.39	0.02	1.95	0.01	1.45	268371.0	3.48	37741.0	0.49	0.0	4.01	0.18	0	309167	13878
SRR3199656	9084080.0	49.0	8318255.0	91.57	48.88	847877.0	799438.0	833917.0	9731.0	499.0	3730.0	0.39	0.02	1.89	0.01	1.44	337348.0	3.71	48275.0	0.53	0.0	3.9	0.29	0	353887	26315
SRR3199657	8529754.0	49.0	8100920.0	94.97	48.95	965801.0	921816.0	951268.0	11474.0	578.0	2481.0	0.39	0.02	2.01	0.01	1.49	216167.0	2.53	27107.0	0.32	0.0	2.02	0.16	0	171941	13619
